TrainFirstMulThenAdd,TrainGaussStdMul,TrainGaussStdAdd,InfFirstMulThenAdd,InfGaussStdMul,InfGaussStdAdd,Accuracy
True,0.5994842503189408,46.41588833612773,False,129154966501.48827,278255.94022071257,10.02
True,0.5994842503189408,46.41588833612773,False,10000000000000.0,278255.94022071257,10.29
True,0.5994842503189408,46.41588833612773,False,9.999999999999999e-05,21544346.90031878,10.01
True,0.5994842503189408,46.41588833612773,False,0.00774263682681127,21544346.90031878,10.23
True,0.5994842503189408,46.41588833612773,False,0.5994842503189408,21544346.90031878,9.66
True,0.5994842503189408,46.41588833612773,False,46.41588833612773,21544346.90031878,10.35
True,0.5994842503189408,46.41588833612773,False,3593.8136638046253,21544346.90031878,10.39
True,0.5994842503189408,46.41588833612773,False,278255.94022071257,21544346.90031878,9.76
True,0.5994842503189408,46.41588833612773,False,21544346.90031878,21544346.90031878,10.0
True,0.5994842503189408,46.41588833612773,False,1668100537.2000556,21544346.90031878,10.08
True,0.5994842503189408,46.41588833612773,False,129154966501.48827,21544346.90031878,9.95
True,0.5994842503189408,46.41588833612773,False,10000000000000.0,21544346.90031878,10.05
True,0.5994842503189408,46.41588833612773,False,9.999999999999999e-05,1668100537.2000556,10.31
True,0.5994842503189408,46.41588833612773,False,0.00774263682681127,1668100537.2000556,10.16
True,0.5994842503189408,46.41588833612773,False,0.5994842503189408,1668100537.2000556,10.1
True,0.5994842503189408,46.41588833612773,False,46.41588833612773,1668100537.2000556,9.64
True,0.5994842503189408,46.41588833612773,False,3593.8136638046253,1668100537.2000556,10.13
True,0.5994842503189408,46.41588833612773,False,278255.94022071257,1668100537.2000556,9.94
True,0.5994842503189408,46.41588833612773,False,21544346.90031878,1668100537.2000556,9.53
True,0.5994842503189408,46.41588833612773,False,1668100537.2000556,1668100537.2000556,9.86
True,0.5994842503189408,46.41588833612773,False,129154966501.48827,1668100537.2000556,10.21
True,0.5994842503189408,46.41588833612773,False,10000000000000.0,1668100537.2000556,9.99
True,0.5994842503189408,46.41588833612773,False,9.999999999999999e-05,129154966501.48827,9.74
True,0.5994842503189408,46.41588833612773,False,0.00774263682681127,129154966501.48827,10.29
True,0.5994842503189408,46.41588833612773,False,0.5994842503189408,129154966501.48827,9.8
True,0.5994842503189408,46.41588833612773,False,46.41588833612773,129154966501.48827,10.23
True,0.5994842503189408,46.41588833612773,False,3593.8136638046253,129154966501.48827,9.82
True,0.5994842503189408,46.41588833612773,False,278255.94022071257,129154966501.48827,10.02
True,0.5994842503189408,46.41588833612773,False,21544346.90031878,129154966501.48827,9.58
True,0.5994842503189408,46.41588833612773,False,1668100537.2000556,129154966501.48827,9.88
True,0.5994842503189408,46.41588833612773,False,129154966501.48827,129154966501.48827,9.93
True,0.5994842503189408,46.41588833612773,False,10000000000000.0,129154966501.48827,9.96
True,0.5994842503189408,46.41588833612773,False,9.999999999999999e-05,10000000000000.0,10.03
True,0.5994842503189408,46.41588833612773,False,0.00774263682681127,10000000000000.0,9.97
True,0.5994842503189408,46.41588833612773,False,0.5994842503189408,10000000000000.0,9.98
True,0.5994842503189408,46.41588833612773,False,46.41588833612773,10000000000000.0,10.3
True,0.5994842503189408,46.41588833612773,False,3593.8136638046253,10000000000000.0,10.09
True,0.5994842503189408,46.41588833612773,False,278255.94022071257,10000000000000.0,10.05
True,0.5994842503189408,46.41588833612773,False,21544346.90031878,10000000000000.0,9.63
True,0.5994842503189408,46.41588833612773,False,1668100537.2000556,10000000000000.0,10.03
True,0.5994842503189408,46.41588833612773,False,129154966501.48827,10000000000000.0,9.89
True,0.5994842503189408,46.41588833612773,False,10000000000000.0,10000000000000.0,10.18
True,0.5994842503189408,3593.8136638046253,False,9.999999999999999e-05,9.999999999999999e-05,46.49
True,0.5994842503189408,3593.8136638046253,False,0.00774263682681127,9.999999999999999e-05,46.49
True,0.5994842503189408,3593.8136638046253,False,0.5994842503189408,9.999999999999999e-05,58.91
True,0.5994842503189408,3593.8136638046253,False,46.41588833612773,9.999999999999999e-05,20.22
True,0.5994842503189408,3593.8136638046253,False,3593.8136638046253,9.999999999999999e-05,19.48
True,0.5994842503189408,3593.8136638046253,False,278255.94022071257,9.999999999999999e-05,19.28
True,0.5994842503189408,3593.8136638046253,False,21544346.90031878,9.999999999999999e-05,19.5
True,0.5994842503189408,3593.8136638046253,False,1668100537.2000556,9.999999999999999e-05,19.33
True,0.5994842503189408,3593.8136638046253,False,129154966501.48827,9.999999999999999e-05,19.44
True,0.5994842503189408,3593.8136638046253,False,10000000000000.0,9.999999999999999e-05,19.24
True,0.5994842503189408,3593.8136638046253,False,9.999999999999999e-05,0.00774263682681127,46.49
True,0.5994842503189408,3593.8136638046253,False,0.00774263682681127,0.00774263682681127,46.51
True,0.5994842503189408,3593.8136638046253,False,0.5994842503189408,0.00774263682681127,58.37
True,0.5994842503189408,3593.8136638046253,False,46.41588833612773,0.00774263682681127,19.86
True,0.5994842503189408,3593.8136638046253,False,3593.8136638046253,0.00774263682681127,19.18
True,0.5994842503189408,3593.8136638046253,False,278255.94022071257,0.00774263682681127,19.25
True,0.5994842503189408,3593.8136638046253,False,21544346.90031878,0.00774263682681127,19.45
True,0.5994842503189408,3593.8136638046253,False,1668100537.2000556,0.00774263682681127,19.59
True,0.5994842503189408,3593.8136638046253,False,129154966501.48827,0.00774263682681127,18.73
True,0.5994842503189408,3593.8136638046253,False,10000000000000.0,0.00774263682681127,19.47
True,0.5994842503189408,3593.8136638046253,False,9.999999999999999e-05,0.5994842503189408,46.48
True,0.5994842503189408,3593.8136638046253,False,0.00774263682681127,0.5994842503189408,46.51
True,0.5994842503189408,3593.8136638046253,False,0.5994842503189408,0.5994842503189408,59.1
True,0.5994842503189408,3593.8136638046253,False,46.41588833612773,0.5994842503189408,20.03
True,0.5994842503189408,3593.8136638046253,False,3593.8136638046253,0.5994842503189408,19.43
True,0.5994842503189408,3593.8136638046253,False,278255.94022071257,0.5994842503189408,19.33
True,0.5994842503189408,3593.8136638046253,False,21544346.90031878,0.5994842503189408,19.56
True,0.5994842503189408,3593.8136638046253,False,1668100537.2000556,0.5994842503189408,19.6
True,0.5994842503189408,3593.8136638046253,False,129154966501.48827,0.5994842503189408,19.63
True,0.5994842503189408,3593.8136638046253,False,10000000000000.0,0.5994842503189408,19.32
True,0.5994842503189408,3593.8136638046253,False,9.999999999999999e-05,46.41588833612773,46.47
True,0.5994842503189408,3593.8136638046253,False,0.00774263682681127,46.41588833612773,46.54
True,0.5994842503189408,3593.8136638046253,False,0.5994842503189408,46.41588833612773,58.52
True,0.5994842503189408,3593.8136638046253,False,46.41588833612773,46.41588833612773,20.06
True,0.5994842503189408,3593.8136638046253,False,3593.8136638046253,46.41588833612773,19.47
True,0.5994842503189408,3593.8136638046253,False,278255.94022071257,46.41588833612773,19.47
True,0.5994842503189408,3593.8136638046253,False,21544346.90031878,46.41588833612773,19.2
True,0.5994842503189408,3593.8136638046253,False,1668100537.2000556,46.41588833612773,19.5
True,0.5994842503189408,3593.8136638046253,False,129154966501.48827,46.41588833612773,19.4
True,0.5994842503189408,3593.8136638046253,False,10000000000000.0,46.41588833612773,19.43
True,0.5994842503189408,3593.8136638046253,False,9.999999999999999e-05,3593.8136638046253,53.18
